Year,Month,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2
2017,January,HYDERABAD,RAJAHMUNDRY,8261,8430
2017,January,HYDERABAD,TIRUPATI,18123,17997
2017,January,HYDERABAD,TRIVANDRUM,975,1303
2017,January,HYDERABAD,UDAIPUR,147,852
2017,January,HYDERABAD,VARANASI,10565,10118
2017,January,HYDERABAD,VIJAYAWADA,8628,9397
2017,January,HYDERABAD,VISAKHAPATNAM,34376,36455
2017,January,HYDERABAD,AHMEDABAD,14388,14646
2017,January,HYDERABAD,BENGALURU,74035,74669
2017,January,HYDERABAD,BHUBANESWAR,23403,21074
2017,January,HYDERABAD,COIMBATORE,18374,18614
2017,January,HYDERABAD,DEHRA DUN,793,483
2017,January,HYDERABAD,DELHI,101563,95390
2017,January,HYDERABAD,GOA,20214,23288
2017,January,HYDERABAD,GUWAHATI,1219,1189
2017,January,HYDERABAD,KOCHI,24962,25963
2017,January,HYDERABAD,KOLKATA,31391,30602
2017,January,HYDERABAD,MUMBAI,89739,89918
2017,January,HYDERABAD,VADODARA,413,323
2017,July,HYDERABAD,AGARTALA,0,122
2017,July,HYDERABAD,AURANGABAD,1836,1925
2017,July,HYDERABAD,BAGDOGRA,0,259
2017,July,HYDERABAD,CHANDIGARH,7073,7027
2017,July,HYDERABAD,CHENNAI,54971,52384
2017,July,HYDERABAD,IMPHAL,175,195
2017,July,HYDERABAD,INDORE,5160,6053
2017,July,HYDERABAD,JABALPUR,2597,3641
2017,July,HYDERABAD,JAIPUR,10936,12720
2017,July,HYDERABAD,LUCKNOW,5177,5087
2017,July,HYDERABAD,MADURAI,2714,2387
2017,July,HYDERABAD,MANGALORE,2974,2954
2017,July,HYDERABAD,NANDED,870,1020
2017,July,HYDERABAD,PATNA,4307,5002
2017,July,HYDERABAD,PORT BLAIR,342,441
2017,July,HYDERABAD,PUNE,17837,20021
2017,July,HYDERABAD,RAIPUR,8904,12382
2017,July,HYDERABAD,RAJAHMUNDRY,7791,7689
2017,July,HYDERABAD,SURAT,3605,3046
2017,July,HYDERABAD,TIRUPATI,21803,21929
2017,July,HYDERABAD,TRIVANDRUM,2807,3523
2017,July,HYDERABAD,UDAIPUR,0,359
2017,July,HYDERABAD,VARANASI,10028,10495
2017,July,HYDERABAD,VIJAYAWADA,10114,10882
2017,July,HYDERABAD,VISAKHAPATNAM,31204,31407
2017,July,HYDERABAD,AHMEDABAD,15948,17824
2017,July,HYDERABAD,BENGALURU,81108,81795
2017,July,HYDERABAD,BHOPAL,183,882
2017,July,HYDERABAD,BHUBANESWAR,13196,17214
